BrandValue;Value;ModelName
17200;93;S 600
17200;194;S 63 AMG
17200;294;S 650
17200;94;S 65 AMG
17200;349;S 680
17200;-17;Clasa SL
17200;95;SL 280
17200;96;SL 300
17200;97;SL 320
17200;98;SL 350
17200;99;SL 380
17200;237;SL 400
17200;100;SL 420
17200;354;SL 43 AMG
17200;101;SL 450
17200;102;SL 500
17200;103;SL 55 AMG
17200;104;SL 560
17200;105;SL 600
17200;163;SL 60 AMG
17200;199;SL 63 AMG
17200;106;SL 65 AMG
17200;164;SL 70 AMG
17200;165;SL 73 AMG
17200;-62;Clasa SLC
17200;274;SLC 180
17200;275;SLC 200
17200;273;SLC 250
17200;288;SLC 280
17200;276;SLC 300
17200;277;SLC 43 AMG
17200;-18;Clasa SLK
17200;108;SLK 200
17200;109;SLK 230
17200;214;SLK 250
17200;110;SLK 280
17200;10;SLK 300
17200;112;SLK 320
17200;111;SLK 32 AMG
17200;113;SLK 350
17200;114;SLK 55 AMG
17200;115;SLR
17200;34;SLS AMG
17200;116;Sprinter
17200;-19;Clasa V
17200;118;V 200
17200;119;V 220
17200;120;V 230
17200;235;V 250
17200;121;V 280
17200;323;V 300
17200;122;Vaneo
17200;123;Vario
17200;124;Viano
17200;125;Vito
17200;-65;Clasa X
17200;286;X 220
17200;287;X 250
17200;312;X 350
3500;-20;Seria 1
3500;73;114
3500;2;116
3500;3;118
3500;4;120
3500;59;123
3500;61;125
3500;328;128
3500;5;130
3500;58;135
3500;87;1er M Coupé
3500;71;2002
3500;-55;Seria 2
3500;110;214 Active Tourer
3500;116;214 Gran Tourer
3500;106;216
3500;111;216 Active Tourer
3500;114;216 Gran Tourer
3500;90;218
3500;107;218 Active Tourer
3500;112;218 Gran Tourer
3500;84;220
3500;108;220 Active Tourer
3500;113;220 Gran Tourer
3500;333;223 Active Tourer
3500;91;225
3500;109;225 Active Tourer
3500;104;228
3500;125;230
3500;322;2er Gran Coupé
3500;-21;Seria 3
3500;7;315
3500;8;316
3500;9;318
3500;75;318 Gran Turismo
3500;10;320
3500;76;320 Gran Turismo
3500;11;323
3500;12;324
3500;13;325
3500;88;325 Gran Turismo
3500;14;328
3500;77;328 Gran Turismo
3500;15;330
3500;103;330 Gran Turismo
3500;56;335
3500;78;335 Gran Turismo
3500;118;340
3500;130;340 Gran Turismo
3500;72;ActiveHybrid 3
3500;-53;Seria 4
3500;115;418
3500;98;418 Gran Coupé
3500;80;420
3500;99;420 Gran Coupé
3500;102;425
3500;124;425 Gran Coupé
3500;81;428
3500;100;428 Gran Coupé
3500;83;430
3500;105;430 Gran Coupé
3500;82;435
3500;101;435 Gran Coupé
3500;120;440
3500;121;440 Gran Coupé
3500;-22;Seria 5
3500;16;518
3500;17;520
3500;74;520 Gran Turismo
3500;18;523
3500;19;524
3500;20;525
3500;21;528
3500;22;530
3500;65;530 Gran Turismo
3500;23;535
3500;66;535 Gran Turismo
3500;24;540
3500;25;545
3500;26;550
3500;67;550 Gran Turismo
3500;70;ActiveHybrid 5
3500;-23;Seria 6
3500;144;620 Gran Turismo
3500;27;628
3500;28;630
3500;127;630 Gran Turismo
3500;29;633
3500;30;635
3500;68;640
3500;94;640 Gran Coupé
3500;128;640 Gran Turismo
3500;31;645
3500;32;650
3500;95;650 Gran Coupé
3500;-24;Seria 7
3500;33;725
3500;34;728
3500;35;730
3500;36;732
3500;37;735
3500;38;740
3500;39;745
